match_id,comerce,geometry,nonzero,x,y,category,comerce_ratio,way,length,exposed,outcome
0,67,"MULTILINESTRING ((-58.4306708267733 -34.6059406808513, -58.4305327391759 -34.6049222486968), (-58.4305327391759 -34.6049222486968, -58.4304311713059 -34.604173266674, -58.4304124037743 -34.6040342454726), (-58.429736244933 -34.5998094197804, -58.4296483821731 -34.5993201626152), (-58.4299509791176 -34.6010015392976, -58.4299280340676 -34.600877305767, -58.429736244933 -34.5998094197804), (-58.4304124037743 -34.6040342454726, -58.4301990851049 -34.6024581078772, -58.4301725081424 -34.6022557032413), (-58.4301725081424 -34.6022557032413, -58.4301481388446 -34.6020704121282, -58.4299509791176 -34.6010015392976))",1,-58.43019509387397,-34.60262480658312,0.0,9.047329687394503,0.0,740.55,0,1
0,71,"MULTILINESTRING ((-58.4511537600374 -34.5587882170468, -58.4520017136493 -34.5578132061807), (-58.4520017136493 -34.5578132061807, -58.452801887861 -34.5568931864136), (-58.4534933562924 -34.5558894182736, -58.4539169671813 -34.5553979614558), (-58.4557797412605 -34.5532265614114, -58.4564908820515 -34.5523264412928), (-58.4550417768263 -34.5540880125767, -58.4557797412605 -34.5532265614114), (-58.4539169671813 -34.5553979614558, -58.4543020946291 -34.5549510787872), (-58.4543020946291 -34.5549510787872, -58.4543739437685 -34.5548677018633, -58.4550417768263 -34.5540880125767))",1,-58.4539453618414,-34.55542341087133,0.0,9.586303737308274,0.0,740.64,1,2
1,25,"MULTILINESTRING ((-58.5193793065015 -34.622389272249, -58.52010305141 -34.6218767482757), (-58.5200118416359 -34.6217890432014, -58.520817486658 -34.6212183775592), (-58.520817486658 -34.6212183775592, -58.520940690984 -34.6211311352713))",0,-58.52015434822073,-34.62175477535678,0.0,12.526305241006112,0.0,199.58,0,0
1,26,"MULTILINESTRING ((-58.4677386323956 -34.590769370859, -58.4671182587955 -34.5903882585664), (-58.4688581294138 -34.5914570831878, -58.4682642299454 -34.5910922434383), (-58.4682642299454 -34.5910922434383, -58.4677386323956 -34.590769370859))",1,-58.46798819276183,-34.590922673062956,0.0,13.075839871253267,0.0,198.84000000000003,1,1
2,13,"LINESTRING (-58.4908495999823 -34.5861165426285, -58.4914739453625 -34.5854240637892)",0,-58.4911617726724,-34.585770303208854,0.0,13.565689241364915,1.0,95.83,0,0
2,12,"MULTILINESTRING ((-58.4696958481684 -34.5919716283278, -58.4694454767349 -34.5918178357789), (-58.4694454767349 -34.5918178357789, -58.4688581294138 -34.5914570831878))",0,-58.46927699078702,-34.591714352508355,0.0,12.534753420996307,1.0,95.73383374179049,1,0
3,35,"MULTILINESTRING ((-58.4184735139674 -34.6157839155478, -58.4200822932759 -34.6158427362594), (-58.417019696829 -34.6156960476254, -58.4184735139674 -34.6157839155478), (-58.4128187377357 -34.6154424769768, -58.4143717778832 -34.6155362095187), (-58.4157807008672 -34.6156212041563, -58.4166783040717 -34.6156754244162, -58.417019696829 -34.6156960476254), (-58.4143717778832 -34.6155362095187, -58.4157807008672 -34.6156212041563))",1,-58.416449797303706,-34.6156574369385,1.0,5.241639584862145,0.0,667.73,0,18
3,33,"MULTILINESTRING ((-58.3968599511828 -34.6330464372333, -58.398298429031 -34.6333901030362), (-58.3956176596501 -34.6327480047697, -58.3958318049938 -34.6328007999922, -58.3968599511828 -34.6330464372333), (-58.3913008224882 -34.6316848181071, -58.3913963932193 -34.6317083958482), (-58.3946412316132 -34.6325075974925, -58.3956176596501 -34.6327480047697), (-58.3913963932193 -34.6317083958482, -58.3946412316132 -34.6325075974925))",1,-58.39479827033686,-34.632543047353685,0.0,4.932882896349666,0.0,668.98,1,2
4,22,"LINESTRING (-58.4330018161059 -34.6105307130639, -58.4330518630211 -34.6103957940458, -58.4332658012377 -34.6092746341525)",0,-58.433144054142936,-34.60990552986663,0.0,15.540015540015542,0.0,141.57,0,0
4,21,"MULTILINESTRING ((-58.4483462797028 -34.6298778793871, -58.448223039617 -34.6301421627895), (-58.4488082834688 -34.6289546858475, -58.4483462797028 -34.6298778793871))",1,-58.448512830335744,-34.62954705609417,0.0,14.762741652021088,0.0,142.25,1,1
5,14,"LINESTRING (-58.451198321166 -34.6424632458236, -58.4507743604071 -34.6427994734841, -58.4506658902655 -34.6427982651018)",0,-58.450941883978345,-34.642659333026145,0.0,21.936696960200567,0.0,63.82,0,0
5,13,"LINESTRING (-58.448223039617 -34.6301421627895, -58.4479829485874 -34.6306610115766)",0,-58.448102994102214,-34.630401587183044,0.0,21.093623235437285,0.0,61.63,1,0
6,170,"MULTILINESTRING ((-58.4605312513453 -34.5807721989911, -58.4618632618078 -34.5807203899829), (-58.4618632618078 -34.5807203899829, -58.4620292095407 -34.5807149691868, -58.4632965931319 -34.5806799751467), (-58.4632965931319 -34.5806799751467, -58.4645697655148 -34.5806448270382, -58.4647158741625 -34.5806401070325), (-58.4708720093915 -34.5804822013516, -58.4721238920576 -34.5804723987736), (-58.4683966830951 -34.5805273306617, -58.4695306393023 -34.5804926295048), (-58.4695306393023 -34.5804926295048, -58.4708720093915 -34.5804822013516), (-58.4672649397072 -34.5805619507875, -58.4683966830951 -34.5805273306617), (-58.4647158741625 -34.5806401070325, -58.4659899817336 -34.5805987467988, -58.4661366011064 -34.580594518048), (-58.4661366011064 -34.580594518048, -58.4671110831545 -34.5805666036631, -58.4672649397072 -34.5805619507875))",1,-58.46632700641821,-34.58059605074979,0.0,15.973390211130633,0.0,1064.27,0,2
6,174,"MULTILINESTRING ((-58.4229158981636 -34.6072682387978, -58.4228167189242 -34.6061199500057, -58.4228144773459 -34.6060003700676), (-58.4228144773459 -34.6060003700676, -58.4228041281478 -34.6046864742352), (-58.4228041281478 -34.6046864742352, -58.4225605079489 -34.6030151711738), (-58.4218648600838 -34.5982085955049, -58.4218320938317 -34.5979940739489, -58.4217796776941 -34.5977344041324), (-58.4222134763619 -34.6005391017658, -58.4220407465725 -34.5993632506481), (-58.4220407465725 -34.5993632506481, -58.4220204606945 -34.5992251430446, -58.4218648600838 -34.5982085955049), (-58.4225605079489 -34.6030151711738, -58.4225368253925 -34.6028529777365, -58.4223832127367 -34.6017505153291), (-58.4223832127367 -34.6017505153291, -58.4222302829177 -34.6006531936834, -58.4222134763619 -34.6005391017658))",1,-58.422446373493464,-34.60249169656556,0.0,16.35784189299715,0.0,1063.71,1,6
7,72,"MULTILINESTRING ((-58.4307776271542 -34.6157795765876, -58.4308447845543 -34.6143766888991), (-58.4308857827823 -34.6136499296539, -58.4312594712087 -34.6125159287332, -58.4313227320193 -34.612361717905), (-58.4313227320193 -34.612361717905, -58.4316090226235 -34.6116638254271, -58.4316783294267 -34.6115102497742), (-58.4331712921892 -34.6080390713189, -58.4331213859592 -34.607843562446, -58.4330963373566 -34.6077368782968, -58.4331073817468 -34.6076152758643), (-58.4327818308309 -34.6090714830447, -58.4329261480027 -34.6087483455091), (-58.4329261480027 -34.6087483455091, -58.4331585044679 -34.6081805957691, -58.4331712921892 -34.6080390713189), (-58.4322602221357 -34.6102250294746, -58.4323156313551 -34.6101028587713, -58.4327122717147 -34.6092273833003, -58.4327818308309 -34.6090714830447), (-58.4316783294267 -34.6115102497742, -58.4319348390436 -34.6109419983738, -58.4319829179956 -34.6108360937803), (-58.4319829179956 -34.6108360937803, -58.4322602221357 -34.6102250294746))",1,-58.43185493392477,-34.611422219982195,0.0,8.360427310729218,0.0,861.1999999999997,0,2
