name,category,bikecat,hood,bikelane,way,length,comerce,comerce_ratio,crash,geometry,x,y
15 DE NOVIEMBRE DE 1889,0,0,CONSTITUCION,0,0,859.72,178,0.20704415391057554,8,"MULTILINESTRING ((-58.3890329366772 -34.6314271176839, -58.3892360299598 -34.6314449174111, -58.3906656444773 -34.6315284540235), (-58.3878080749693 -34.6313195336628, -58.3879845032155 -34.6313350654233, -58.3890329366772 -34.6314271176839), (-58.3867385174389 -34.6312253449187, -58.3878080749693 -34.6313195336628), (-58.3813399189897 -34.6307392966576, -58.3819347904498 -34.6307932166047), (-58.3826661349436 -34.6308595480158, -58.3828512500264 -34.6308763605621, -58.3839117641929 -34.6309743803622, -58.3841088065273 -34.6309919734183), (-58.3819347904498 -34.6307932166047, -58.3826661349436 -34.6308595480158), (-58.3855250774948 -34.6311183085266, -58.3865364475907 -34.6312075416771, -58.3867385174389 -34.6312253449187), (-58.3841088065273 -34.6309919734183, -58.3852970253816 -34.6310982331174, -58.3855250774948 -34.6311183085266))",-58.38600117943729,-34.631155013665406
15 DE NOVIEMBRE DE 1889,0,0,PARQUE PATRICIOS,0,0,343.47,50,0.1455731213788686,1,"MULTILINESTRING ((-58.3906656444773 -34.6315284540235, -58.3913008224882 -34.6316848181071), (-58.3997000342231 -34.6337250001598, -58.4012600936081 -34.63409763829), (-58.398298429031 -34.6333901030362, -58.3997000342231 -34.6337250001598))",-58.398223804440825,-34.63336595338764
15 DE NOVIEMBRE DE 1889,0,2,PARQUE PATRICIOS,1,0,668.98,33,0.04932882896349666,2,"MULTILINESTRING ((-58.3968599511828 -34.6330464372333, -58.398298429031 -34.6333901030362), (-58.3956176596501 -34.6327480047697, -58.3958318049938 -34.6328007999922, -58.3968599511828 -34.6330464372333), (-58.3913008224882 -34.6316848181071, -58.3913963932193 -34.6317083958482), (-58.3946412316132 -34.6325075974925, -58.3956176596501 -34.6327480047697), (-58.3913963932193 -34.6317083958482, -58.3946412316132 -34.6325075974925))",-58.39479827033686,-34.632543047353685
18 DE OCTUBRE DE 1908,0,0,VILLA LUGANO,0,0,715.84,0,0.0,0,"MULTILINESTRING ((-58.4638454977675 -34.6809754603411, -58.4630228572418 -34.6815861667806), (-58.4637772141553 -34.6809135590831, -58.4629548294881 -34.6815234199965), (-58.4651115441653 -34.6786955130939, -58.4638521380922 -34.679622358601), (-58.4650548545518 -34.6786210066891, -58.4637890556186 -34.6795644009836), (-58.4642591926535 -34.6799963710543, -58.4634374173168 -34.680605812775), (-58.4641891193354 -34.6799320052365, -58.4633688785691 -34.6805423619854))",-58.46397369206046,-34.680050141541486
1RO DE MAYO,0,0,NUEVA POMPEYA,0,1,196.73,41,0.2084074620037615,1,"LINESTRING (-58.4323044603736 -34.6465627577306, -58.4344487193416 -34.6466280731309)",-58.433376589857595,-34.64659541543075
2 DE ABRIL DE 1982,0,0,VILLA LUGANO,0,1,648.38,8,0.0123384435053518,2,"MULTILINESTRING ((-58.4893528749494 -34.6764859758427, -58.491122596691 -34.6779965748597, -58.4912666153086 -34.6781177394049), (-58.4919839859931 -34.6787210953861, -58.4922435633575 -34.6787375833644, -58.4952833405516 -34.6787846407004), (-58.4912666153086 -34.6781177394049, -58.4919839859931 -34.6787210953861))",-58.49211662991794,-34.678169138818106
20 DE FEBRERO,0,0,SAAVEDRA,0,0,541.0,95,0.1756007393715342,0,"MULTILINESTRING ((-58.5026926219658 -34.5657885334685, -58.502974191538 -34.5658840076808, -58.503110423339 -34.5659343165044, -58.5033031943247 -34.5660111565163, -58.5034928183587 -34.5660932086362, -58.5036760598058 -34.5661789950444, -58.5038391239106 -34.5662609849815, -58.5040376148532 -34.5663681746797, -58.5042132892325 -34.5664710758374, -58.5045132102448 -34.5666564013746), (-58.499482869364 -34.5641726616741, -58.4997605130067 -34.5642660317697, -58.4998923126097 -34.564314162378, -58.4999668125597 -34.5643430843045, -58.5000591933241 -34.5643806629594, -58.5001139411246 -34.5644039568187, -58.5002228417273 -34.5644523756683, -58.5002945347029 -34.5644858758055, -58.5003476662584 -34.5645115644665, -58.5004357087681 -34.5645557640113, -58.5005397604082 -34.5646108743352, -58.5006251656153 -34.5646583844766, -58.5006756599375 -34.5646875245781, -58.5007591935422 -34.5647374296153, -58.5008084116601 -34.5647679785338, -58.5009050608061 -34.5648302036458, -58.5009973715743 -34.5648991907275), (-58.5017923816593 -34.5654347990784, -58.5019091215987 -34.5654942705146, -58.5021252235582 -34.5655874433855, -58.502273461618 -34.5656462706337, -58.502341917859 -34.565671953528, -58.5025685703622 -34.565751319128, -58.5026926219658 -34.5657885334685), (-58.5009973715743 -34.5648991907275, -58.5012374312983 -34.5650784159452, -58.5014327800743 -34.5652157523626, -58.5016885833289 -34.5653791967824, -58.5017923816593 -34.5654347990784))",-58.50199824740366,-34.56541007888275
20 DE SETIEMBRE,0,0,BOCA,0,0,696.65,35,0.050240436374075936,3,"MULTILINESTRING ((-58.3642837936003 -34.631351297169, -58.3651785471585 -34.6322766067591), (-58.3633544281778 -34.6303901775298, -58.3642837936003 -34.631351297169), (-58.359463516931 -34.6263749845397, -58.3606835443091 -34.6276215934995), (-58.3615833059188 -34.6286654196384, -58.3616672936609 -34.6286986182196, -58.3620849877014 -34.6290776386215), (-58.3624535037358 -34.6294583702662, -58.3633544281778 -34.6303901775298), (-58.3620849877014 -34.6290776386215, -58.3623513979318 -34.6293527917753, -58.3624535037358 -34.6294583702662))",-58.362554536657974,-34.629566489003786
24 DE NOVIEMBRE,0,0,BALVANERA,0,0,1091.59,140,0.1282532819098746,15,"MULTILINESTRING ((-58.4109919955229 -34.6190485836917, -58.4109728095773 -34.6192154084928, -58.4108142581718 -34.6203351427076), (-58.4110014398819 -34.617843995386, -58.4109919955229 -34.6190485836917), (-58.4110040776282 -34.6166263051652, -58.4110014398819 -34.617843995386), (-58.4117357191031 -34.6105387899681, -58.4116834577708 -34.6118562505232), (-58.4114639900054 -34.6130368070418, -58.4114228817573 -34.6132580601033, -58.4113148065489 -34.6140523203215), (-58.4116834577708 -34.6118562505232, -58.4114639900054 -34.6130368070418), (-58.4111524155375 -34.6153418452206, -58.4110040776282 -34.6166263051652), (-58.4113148065489 -34.6140523203215, -58.4112905042823 -34.614230974271, -58.4111524155375 -34.6153418452206))",-58.411233236024046,-34.61543321622385
24 DE NOVIEMBRE,0,0,PARQUE PATRICIOS,0,0,872.3100000000002,60,0.06878288681775972,8,"MULTILINESTRING ((-58.4091440603433 -34.6366733197528, -58.4090560468274 -34.6377198396238), (-58.4092705309668 -34.6354435050723, -58.4092491274185 -34.6356027928822, -58.4091590868988 -34.6364945219339, -58.4091440603433 -34.6366733197528), (-58.4093495554879 -34.6347186739346, -58.4093383372748 -34.6349382485555, -58.4092705309668 -34.6354435050723), (-58.4098713517563 -34.6298870944144, -58.4098516888654 -34.630125961535, -58.4098179850779 -34.6304718658518), (-58.4097431151879 -34.6312405028947, -58.4096395992155 -34.6323022991671, -58.4096191852208 -34.6325148979548), (-58.4098179850779 -34.6304718658518, -58.4097431151879 -34.6312405028947), (-58.4096191852208 -34.6325148979548, -58.4096023742176 -34.6326890472292, -58.4095443033935 -34.6331642376522), (-58.4095001077095 -34.6335254893461, -58.409488801426 -34.6336184430212, -58.4093590483994 -34.6345319157615, -58.4093495554879 -34.6347186739346), (-58.4095443033935 -34.6331642376522, -58.4095001077095 -34.6335254893461))",-58.40946137225253,-34.63380341730898
